Non targets;;;
hsa-miR-551b-5p;993;X;Functional MTI
hsa-miR-569;894;X;Functional MTI
hsa-miR-570-5p;894;X;Functional MTI
hsa-miR-571;894;X;Functional MTI
hsa-miR-572;894;X;Functional MTI
hsa-miR-573;4211;X;Functional MTI
hsa-miR-574-5p;4211;X;Functional MTI
hsa-miR-575;23118;X;Functional MTI
hsa-miR-576-5p;23118;X;Functional MTI
hsa-miR-577;23118;X;Functional MTI
hsa-miR-578;23118;X;Functional MTI
hsa-miR-579-5p;23118;X;Functional MTI
hsa-miR-580-5p;23118;X;Functional MTI
hsa-miR-581;596;X;Functional MTI
hsa-miR-582-5p;3135;X;Functional MTI
hsa-miR-583;3135;X;Functional MTI
hsa-miR-584-5p;3135;X;Functional MTI
hsa-miR-585-5p;60436;X;Functional MTI
hsa-miR-548a-3p;3075;X;Functional MTI
hsa-miR-586;3075;X;Functional MTI
hsa-miR-587;3656;X;Functional MTI
hsa-miR-548b-5p;664;X;Functional MTI
hsa-miR-588;664;X;Functional MTI
hsa-miR-548a-3p;688;X;Functional MTI
hsa-miR-589-5p;688;X;Functional MTI
hsa-miR-550a-5p;6657;X;Functional MTI
hsa-miR-550a-5p;6657;X;Functional MTI
hsa-miR-590-5p;6657;X;Functional MTI
hsa-miR-591;9314;X;Functional MTI
hsa-miR-592;9314;X;Functional MTI
hsa-miR-593-5p;9314;X;Functional MTI
hsa-miR-595;3845;X;Functional MTI
hsa-miR-596;3845;X;Functional MTI
hsa-miR-597-5p;3845;X;Functional MTI
hsa-miR-598-5p;3845;X;Functional MTI
hsa-miR-599;9839;X;Functional MTI
hsa-miR-548a-5p;9839;X;Functional MTI
hsa-miR-600;9839;X;Functional MTI
hsa-miR-601;9839;X;Functional MTI
hsa-miR-602;9839;X;Functional MTI
hsa-miR-603;9839;X;Functional MTI
hsa-miR-604;9839;X;Functional MTI
hsa-miR-605-5p;9839;X;Functional MTI
hsa-miR-606;6935;X;Functional MTI
hsa-miR-607;6935;X;Functional MTI
hsa-miR-608;6935;X;Functional MTI
hsa-miR-609;6935;X;Functional MTI
hsa-miR-610;6935;X;Functional MTI
hsa-miR-611;1749;X;Functional MTI
hsa-miR-612;998;X;Functional MTI
hsa-miR-613;10021;X;Functional MTI
hsa-miR-614;7351;X;Functional MTI
hsa-miR-615-5p;3855;X;Functional MTI
hsa-miR-616-5p;23411;X;Functional MTI
hsa-miR-548c-5p;94241;X;Functional MTI
hsa-miR-617;4916;X;Functional MTI
hsa-miR-618;4916;X;Functional MTI
hsa-miR-619-5p;161742;X;Functional MTI
hsa-miR-620;161742;X;Functional MTI
hsa-miR-621;161742;X;Functional MTI
hsa-miR-622;161742;X;Functional MTI
hsa-miR-623;161742;X;Functional MTI
hsa-miR-624-5p;10769;X;Functional MTI
hsa-miR-625-5p;10769;X;Functional MTI
hsa-miR-626;658;X;Functional MTI
hsa-miR-627-5p;1978;X;Functional MTI
hsa-miR-628-5p;1978;X;Functional MTI
hsa-miR-629-5p;8091;X;Functional MTI
hsa-miR-630;3159;X;Functional MTI
hsa-miR-631;2735;X;Functional MTI
hsa-miR-33b-5p;6662;X;Functional MTI
hsa-miR-632;6662;X;Functional MTI
hsa-miR-633;627;X;Functional MTI
hsa-miR-634;3480;X;Functional MTI
hsa-miR-635;3480;X;Functional MTI
hsa-miR-636;3480;X;Functional MTI
hsa-miR-637;6722;X;Functional MTI
hsa-miR-638;5324;X;Functional MTI
hsa-miR-639;83737;X;Functional MTI
hsa-miR-640;83737;X;Functional MTI
hsa-miR-641;83737;X;Functional MTI
hsa-miR-642a-5p;83737;X;Functional MTI
hsa-miR-643;351;X;Functional MTI
hsa-miR-644a;1869;X;Functional MTI
hsa-miR-645;1869;X;Functional MTI
hsa-miR-646;1869;X;Functional MTI
hsa-miR-647;4613;X;Functional MTI
hsa-miR-648;4613;X;Functional MTI
hsa-miR-649;4613;X;Functional MTI
hsa-miR-650;4613;X;Functional MTI
hsa-miR-651-5p;6310;X;Functional MTI
hsa-miR-652-5p;6310;X;Functional MTI
hsa-miR-548d-5p;2146;X;Functional MTI
hsa-miR-661;2146;X;Functional MTI
hsa-miR-662;2146;X;Functional MTI
hsa-miR-548d-5p;2146;X;Functional MTI
hsa-miR-663a;2146;X;Functional MTI
hsa-miR-449b-5p;2146;X;Functional MTI
hsa-miR-653-5p;2146;X;Functional MTI
hsa-miR-411-5p;2146;X;Functional MTI
hsa-miR-654-5p;2146;X;Functional MTI
hsa-miR-655-5p;2146;X;Functional MTI
hsa-miR-656-5p;2146;X;Functional MTI
hsa-miR-549a;2146;X;Functional MTI
